Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23432318,BrainScripts for Sales Success: 21 Hidden Principles of Consumer Psychology for Winning New Customers,Drew Eric Whitman,"Whitman, Drew Eric",,"=""""","=""""",3,3.99,McGraw-Hill Education,Kindle Edition,226,2014,2014,2023/01/03,2022/12/17,,,read,,,,1,0
7332,The Silmarillion,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Ted Nasmith","=""0618391118""","=""9780618391110""",0,3.98,Houghton Mifflin Company,Hardcover,386,2004,1977,,2023/01/02,to-read,to-read (#188),to-read,,,,0,0
7329,Unfinished Tales of Númenor and Middle-Earth,J.R.R. Tolkien,"Tolkien, J.R.R.",Christopher Tolkien,"=""026110215X""","=""9780261102156""",0,3.99,HarperCollins Publishers,Hardcover,452,2000,1980,,2023/01/02,to-read,to-read (#187),to-read,,,,0,0
40961621,"King Leopold's Ghost: A Story of Greed, Terror, and Heroism in Colonial Africa",Adam Hochschild,"Hochschild, Adam",,"=""""","=""""",5,4.15,Mariner Books,Kindle Edition,442,1999,1998,,2021/09/21,,,read,,,,1,0
261228,A History of My Times,Xenophon,"Xenophon, Xenophon","George Cawkwell, Rex Warner","=""0140441751""","=""9780140441758""",0,4.03,Penguin Books,Paperback,432,1979,,,2022/09/04,currently-reading,currently-reading (#1),currently-reading,,,,1,0
18428492,Deep Risk: How History Informs Portfolio Design,William J. Bernstein,"Bernstein, William J.",,"=""0988780313""","=""9780988780316""",0,4.23,Efficient Frontier Publications,Paperback,56,2013,2013,,2022/12/10,to-read,to-read (#186),to-read,,,,0,0
22458444,Rational Expectations: Asset Allocation for Investing Adults (Investing for Adults Book 4),William J. Bernstein,"Bernstein, William J.",,"=""""","=""""",0,4.31,Efficient Frontier Publications,Kindle Edition,216,2014,2014,,2022/12/10,to-read,to-read (#185),to-read,,,,0,0
6720027,"The Investor's Manifesto: Preparing for Prosperity, Armageddon, and Everything in Between",William J. Bernstein,"Bernstein, William J.",,"=""0470505141""","=""9780470505144""",0,4.15,Wiley,Hardcover,201,2009,2004,,2022/12/10,to-read,to-read (#184),to-read,,,,0,0
94560,The Birth of Plenty: How the Prosperity of the Modern World Was Created,William J. Bernstein,"Bernstein, William J.",,"=""0071421920""","=""9780071421928""",0,4.20,McGraw-Hill,Hardcover,420,2004,2004,,2022/12/10,to-read,to-read (#183),to-read,,,,0,0
208722,The Intelligent Asset Allocator: How to Build Your Portfolio to Maximize Returns and Minimize Risk,William J. Bernstein,"Bernstein, William J.",,"=""0071362363""","=""9780071362368""",0,4.21,McGraw-Hill Education,Hardcover,224,2000,2000,,2022/12/10,to-read,to-read (#182),to-read,,,,0,0
2413423,A Splendid Exchange: How Trade Shaped the World from Prehistory to Today,William J. Bernstein,"Bernstein, William J.",,"=""0871139790""","=""9780871139795""",0,4.15,Atlantic Monthly Press,Hardcover,384,2008,2008,,2022/12/10,to-read,to-read (#181),to-read,,,,0,0
79351,The Four Pillars of Investing,William J. Bernstein,"Bernstein, William J.",Donald G. Coxe,"=""0071385290""","=""9780071385299""",0,4.23,McGraw-Hill Companies,Hardcover,240,2002,2002,,2022/12/10,to-read,to-read (#180),to-read,,,,0,0
