Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
19395344,"El gran libro de los insultos : tesoro crítico, etimológico e histórico de los insultos españoles",Pancracio Celdrán,"Celdrán, Pancracio",Pancracio Celdrán Gomáriz,"=""""","=""""",0,4.00,"La Esfera De Los Libros, S.L.",Kindle Edition,1057,2011,2011,,2022/08/17,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
3749315,Inventario general de insultos,Pancracio Celdrán,"Celdrán, Pancracio",Pancracio Celdrán Gomáriz,"=""8478387307""","=""9788478387304""",4,3.73,Ediciones del Prado,Paperback,354,1995,1995,,2022/08/17,to-read,to-read (#15),to-read,,,,1,,,0,,,,,
38913853,Bromatología: Composición y propiedades de los alimentos,Eduardo Mendoza,"Mendoza, Eduardo",Concepción Calvo,"=""6071503795""","=""9786071503794""",0,4.33,McGraw-Hill Interamericana,Hardcover,318,2013,,,2022/08/17,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
35399405,Las barbas del profeta,Eduardo Mendoza,"Mendoza, Eduardo",,"=""""","=""9788437507729""",0,3.28,Fondo de Cultura Económica de España,Hardcover,154,2017,2017,,2022/08/17,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
8086296,Tres vidas de santos,Eduardo Mendoza,"Mendoza, Eduardo",,"=""8432212741""","=""9788432212741""",0,3.13,Seix Barral,Paperback,192,2009,2009,,2022/08/17,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
112665,Mauricio o las elecciones primarias,Eduardo Mendoza,"Mendoza, Eduardo",,"=""950731511X""","=""9789507315114""",0,3.26,Seix Barral,Paperback,,2006,2006,,2022/08/17,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
40624008,El rey recibe,Eduardo Mendoza,"Mendoza, Eduardo",,"=""8432234079""","=""9788432234071""",0,2.99,Seix Barral,Paperback,368,2018,2018,,2022/08/17,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
27388658,El secreto de la modelo extraviada,Eduardo Mendoza,"Mendoza, Eduardo",,"=""""","=""""",0,3.56,Seix Barral,Kindle Edition,320,2015,2015,,2022/08/17,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
87805,La aventura del tocador de señoras,Eduardo Mendoza,"Mendoza, Eduardo",,"=""8422691353""","=""9788422691358""",0,3.77,Círculo de Lectores,Hardcover,352,2001,2001,,2022/08/17,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
65584,El laberinto de las aceitunas,Eduardo Mendoza,"Mendoza, Eduardo",,"=""8432231509""","=""9788432231506""",0,3.73,Seix Barral,Mass Market Paperback,318,2005,1982,,2022/08/17,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
10435551,Riña de gatos. Madrid 1936,Eduardo Mendoza,"Mendoza, Eduardo",,"=""8408097253""","=""9788408097259""",0,3.52,Planeta,,427,2010,2010,,2022/08/17,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
87819,La ciudad de los prodigios,Eduardo Mendoza,"Mendoza, Eduardo",,"=""""","=""""",0,3.90,Círculo de Lectores,Hardcover,429,1987,1986,,2022/08/17,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
69681,La verdad sobre el caso Savolta,Eduardo Mendoza,"Mendoza, Eduardo",,"=""8432230189""","=""9788432230189""",0,3.85,Editorial Seix Barral,Paperback,464,1999,1975,,2022/08/17,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
112648,El misterio de la cripta embrujada,Eduardo Mendoza,"Mendoza, Eduardo",,"=""8432231495""","=""9788432231490""",0,3.67,Seix Barral,Paperback,208,2003,1978,,2022/08/17,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
192364,Sin noticias de Gurb,Eduardo Mendoza,"Mendoza, Eduardo",,"=""8432207829""","=""9788432207822""",0,3.75,Seix Barral,Paperback,144,2001,1990,,2022/08/17,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
15704307,"Saga, Volume 1",Brian K. Vaughan,"Vaughan, Brian K.",Fiona Staples,"=""1607066017""","=""9781607066019""",0,4.17,Image Comics,Paperback,160,2012,2012,,2022/08/17,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",4,4.39,Vintage,Paperback,512,2015,2011,,2022/08/17,,,read,,,,1,,,0,,,,,
